STATE_FIPS_CODE,STATE_ALPHA,STATE_NAME,size,practice,operations,acres,total_ops,total_acres,ops_adopt,acres_adopt
1,AL,ALABAMA,All Farms,No Till,2709,765356,40592,8580940,0.06673728813559322,0.08919255932333754
1,AL,ALABAMA,All Farms,No Till,2709,765356,40592,8580940,0.06673728813559322,0.08919255932333754
2,AK,ALASKA,All Farms,No Till,89,2001,990,849753,0.0898989898989899,0.002354801924794617
2,AK,ALASKA,All Farms,No Till,89,2001,990,849753,0.0898989898989899,0.002354801924794617
4,AZ,ARIZONA,All Farms,No Till,1214,58173,19086,26125819,0.0636068322330504,0.0022266478995357046
4,AZ,ARIZONA,All Farms,No Till,1214,58173,19086,26125819,0.0636068322330504,0.0022266478995357046
5,AR,ARKANSAS,All Farms,No Till,2073,988557,42625,13888929,0.04863343108504399,0.07117589844400529
5,AR,ARKANSAS,All Farms,No Till,2073,988557,42625,13888929,0.04863343108504399,0.07117589844400529
6,CA,CALIFORNIA,All Farms,No Till,3880,238454,70521,24522801,0.05501907233306391,0.009723766873123506
6,CA,CALIFORNIA,All Farms,No Till,3880,238454,70521,24522801,0.05501907233306391,0.009723766873123506
8,CO,COLORADO,All Farms,No Till,3521,2899356,38893,31820957,0.09053042964029517,0.09111467012132916
8,CO,COLORADO,All Farms,No Till,3521,2899356,38893,31820957,0.09053042964029517,0.09111467012132916
9,CT,CONNECTICUT,All Farms,No Till,487,18153,5521,381539,0.08820865785183843,0.047578360272475424
9,CT,CONNECTICUT,All Farms,No Till,487,18153,5521,381539,0.08820865785183843,0.047578360272475424
10,DE,DELAWARE,All Farms,No Till,760,242599,2302,525324,0.3301476976542137,0.46180833162010493
10,DE,DELAWARE,All Farms,No Till,760,242599,2302,525324,0.3301476976542137,0.46180833162010493
12,FL,FLORIDA,All Farms,No Till,2077,244994,47590,9731731,0.043643622609791974,0.02517476079024379
12,FL,FLORIDA,All Farms,No Till,2077,244994,47590,9731731,0.043643622609791974,0.02517476079024379
13,GA,GEORGIA,All Farms,No Till,3019,748083,42439,9953730,0.07113739720540069,0.07515604702960599
13,GA,GEORGIA,All Farms,No Till,3019,748083,42439,9953730,0.07113739720540069,0.07515604702960599
15,HI,HAWAII,All Farms,No Till,670,3501,7328,1135352,0.09143013100436681,0.003083625166468197
15,HI,HAWAII,All Farms,No Till,670,3501,7328,1135352,0.09143013100436681,0.003083625166468197
16,ID,IDAHO,All Farms,No Till,1216,513984,24996,11691912,0.04864778364538326,0.0439606456155332
16,ID,IDAHO,All Farms,No Till,1216,513984,24996,11691912,0.04864778364538326,0.0439606456155332
17,IL,ILLINOIS,All Farms,No Till,21979,6471985,72651,27006288,0.3025285267924736,0.2396473369461216
17,IL,ILLINOIS,All Farms,No Till,21979,6471985,72651,27006288,0.3025285267924736,0.2396473369461216
18,IN,INDIANA,All Farms,No Till,15867,4902914,56649,14969996,0.28009320552878253,0.3275160527765004
18,IN,INDIANA,All Farms,No Till,15867,4902914,56649,14969996,0.28009320552878253,0.3275160527765004
19,IA,IOWA,All Farms,No Till,24025,8196199,86104,30563878,0.2790230419028152,0.26816619932850144
19,IA,IOWA,All Farms,No Till,24025,8196199,86104,30563878,0.2790230419028152,0.26816619932850144
20,KS,KANSAS,All Farms,No Till,16283,11197898,58569,45759319,0.27801396643275456,0.24471295125698878
20,KS,KANSAS,All Farms,No Till,16283,11197898,58569,45759319,0.27801396643275456,0.24471295125698878
21,KY,KENTUCKY,All Farms,No Till,9212,2398002,75966,12961784,0.12126477634731327,0.18500555170491964
21,KY,KENTUCKY,All Farms,No Till,9212,2398002,75966,12961784,0.12126477634731327,0.18500555170491964
22,LA,LOUISIANA,All Farms,No Till,1350,416807,27386,7997511,0.049295260352004676,0.05211708992960435
22,LA,LOUISIANA,All Farms,No Till,1350,416807,27386,7997511,0.049295260352004676,0.05211708992960435
23,ME,MAINE,All Farms,No Till,645,21676,7600,1307613,0.08486842105263158,0.016576770038229965
23,ME,MAINE,All Farms,No Till,645,21676,7600,1307613,0.08486842105263158,0.016576770038229965
24,MD,MARYLAND,All Farms,No Till,3358,826999,12429,1990122,0.27017459168074665,0.41555191088787524
24,MD,MARYLAND,All Farms,No Till,3358,826999,12429,1990122,0.27017459168074665,0.41555191088787524
25,MA,MASSACHUSETTS,All Farms,No Till,679,9152,7241,491653,0.09377157851125535,0.018614754715215814
25,MA,MASSACHUSETTS,All Farms,No Till,679,9152,7241,491653,0.09377157851125535,0.018614754715215814
26,MI,MICHIGAN,All Farms,No Till,8174,1566334,47641,9764090,0.17157490396927016,0.16041781671410238
